path,name,sha256,size_mb,pages,producer,creator,error
D:\Общая_Рабочая\2024\Баня Байкал\Баня Байкал В8.pdf,Баня Байкал В8.pdf,72315594b6c3c50c,1.11,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Баня Байкал\Баня Байкал В9.pdf,Баня Байкал В9.pdf,2d55288a32ac125b,1.11,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Баня Байкал\В10 Байкал.pdf,В10 Байкал.pdf,83c3cc4b6a210d3b,1.07,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Баня Байкал\В3.pdf,В3.pdf,2f5fcb8b2bfa26c5,0.98,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Баня Байкал\В4.pdf,В4.pdf,511201eff857a5e8,1.0,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Баня Байкал\В5.pdf,В5.pdf,186f68749d8259e6,1.07,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Баня Байкал\В6.pdf,В6.pdf,c66869bda741d0cb,1.09,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Баня Байкал\В7.pdf,В7.pdf,831216d745862bb5,1.08,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Баня Байкал\В8 байкал.pdf,В8 байкал.pdf,2c82b10b5993bc0e,1.07,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Баня Байкал\В9 Байкал.pdf,В9 Байкал.pdf,fa9afe068fd79169,1.07,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Баня Блэк\Пол\Баня Блэк - План сборки пола.pdf,Баня Блэк - План сборки пола.pdf,c73701bec48159e4,0.42,4,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.20),
D:\Общая_Рабочая\2024\Баня Блэк\Потолок\Баня Блэк - План сборки Потолка.pdf,Баня Блэк - План сборки Потолка.pdf,c2dcbc8c0c1f8834,0.19,2,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.20),
D:\Общая_Рабочая\2024\Баня Блэк\Рамка\Баня Блэк - Рамка.pdf,Баня Блэк - Рамка.pdf,02042003dee8335a,0.24,2,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.20),
D:\Общая_Рабочая\2024\Баня Блэк\СПЕЦ\Стены\123.pdf,123.pdf,be5e8c9328005ebd,0.49,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Баня Блэк\Стены\Баня Блэк-Стены.pdf,Баня Блэк-Стены.pdf,3cc4a4f369f5eb21,1.78,14,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.20),
D:\Общая_Рабочая\2024\Баня им. Свердлова\Баня пос. им. Сверлова В1.pdf,Баня пос. им. Сверлова В1.pdf,fffe51e63c9f4194,0.33,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Баня Панорамик\ПОЛ\Баня Панорамик - Данные Полы.pdf,Баня Панорамик - Данные Полы.pdf,c2091c63489b01ab,0.59,4,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.19),
D:\Общая_Рабочая\2024\Баня Панорамик\Потолки\Баня Панорамик - План сборки Потолка.pdf,Баня Панорамик - План сборки Потолка.pdf,b5022823bc1e334f,0.65,4,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.17),
D:\Общая_Рабочая\2024\Баня Панорамик\РАМКА\Баня Панорамик- Рамка.pdf,Баня Панорамик- Рамка.pdf,cbd2ad1b43197dfa,1.86,13,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.16),
D:\Общая_Рабочая\2024\Баня Панорамик\Спец\Пол\1.pdf,1.pdf,571581d2bac657b7,0.39,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Баня Панорамик\Спец\Потолок\3.pdf,3.pdf,935bd952717534b5,0.39,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Баня Панорамик\Спец\Рамка\6.pdf,6.pdf,c31272c5c29c3c9b,0.39,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Баня Панорамик\Спец\Стены\2.pdf,2.pdf,,0.0,0,,,Cannot open empty file: filename='D:\\Общая_Рабочая\\2024\\Баня Панорамик\\Спец\\Стены\\2.pdf'.
D:\Общая_Рабочая\2024\Баня Панорамик\Спец\Стены\3.pdf,3.pdf,a861c45dbf82e9a3,0.39,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Баня Панорамик\Стены\Баня Панорамик - Стены.pdf,Баня Панорамик - Стены.pdf,ffef886165a3fab9,1.32,14,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.18),
D:\Общая_Рабочая\2024\Баня Пятиречье\Баня Пятиречье - Данные Полы.pdf,Баня Пятиречье - Данные Полы.pdf,59390a9e2ef96a1d,0.12,3,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.20),
D:\Общая_Рабочая\2024\Баня Пятиречье\Баня Пятиречье - План сборки Потолка.pdf,Баня Пятиречье - План сборки Потолка.pdf,52d5d8c0b917cd03,0.56,2,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.18),
D:\Общая_Рабочая\2024\Баня Пятиречье\Баня Пятиречье - План фундамента.pdf,Баня Пятиречье - План фундамента.pdf,1d2bd1f7ff603afd,0.2,2,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.20),
D:\Общая_Рабочая\2024\Баня Пятиречье\Баня Пятиречье - Стены.pdf,Баня Пятиречье - Стены.pdf,809ff2fe3a11a5fb,0.6,9,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.20),
D:\Общая_Рабочая\2024\Баня Пятиречье\Баня Пятиречье- Рамка.pdf,Баня Пятиречье- Рамка.pdf,df6b1b97e013ea01,1.02,4,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.20),
D:\Общая_Рабочая\2024\Баня Пятиречье\Баня Пятиречьет - План сборки пола.pdf,Баня Пятиречьет - План сборки пола.pdf,13ad90c9c676a959,0.14,2,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.20),
D:\Общая_Рабочая\2024\Баня Пятиречье\Пятиречье\Рамка\Баня Пятиречье- Рамка.pdf,Баня Пятиречье- Рамка.pdf,01932352e8bc0e62,1.02,4,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.23),
D:\Общая_Рабочая\2024\Баня Самара\Lampi Самара_241025_102911.pdf,Lampi Самара_241025_102911.pdf,a02a7e4fed146efc,0.49,7,Samsung Electronics,Samsung Electronics,
